escenario,t0,mode,ventana_incluye_shock,mase,lambda_elegida,lambda_relativa,mae_validacion,lambda_traza_legacy,n_inner_train,n_validacion
calma,500,ols,False,0.11268819128021754,,,,,,
calma,500,ridge,False,0.12931255097040767,0.0938294641527636,0.0001,0.07077534304786232,93.82946415276359,400.0,100.0
calma,500,nnls,False,0.42539053636738344,,,,,,
calma,500,ssrc,False,0.027800589527049644,0.0002244722252062281,1e-06,0.01829748857763573,22.447222520622812,400.0,100.0
calma,500,pls,False,0.41521620773282353,,,,,,
calma,500,naive,False,0.39906309791948064,,,,,,
calma,520,ols,False,0.08228003255951251,,,,,,
calma,520,ridge,False,0.09014064806951547,0.09178651689307182,0.0001,0.06709541652201303,91.78651689307182,400.0,100.0
calma,520,nnls,False,0.21923796869771803,,,,,,
calma,520,ssrc,False,0.1444966378553955,0.00022009911969644383,1e-06,0.016853447432465692,22.009911969644385,400.0,100.0
calma,520,pls,False,1.5393736932659046,,,,,,
calma,520,naive,False,0.1794971330324263,,,,,,
calma,540,ols,False,0.13450457017503636,,,,,,
calma,540,ridge,False,0.11233494315339003,0.091863731204052,0.0001,0.07249441901857334,91.863731204052,400.0,100.0
calma,540,nnls,False,0.0862295708934134,,,,,,
calma,540,ssrc,False,0.1269324307933803,0.02188920374074644,0.0001,0.022106693350229155,21.88920374074644,400.0,100.0
calma,540,pls,False,2.478898923946385,,,,,,
calma,540,naive,False,0.05516130569171388,,,,,,
calma,560,ols,False,0.07163056865304293,,,,,,
calma,560,ridge,False,0.06857470747085531,0.0008989322373544249,1e-06,0.06143615335495702,89.8932237354425,400.0,100.0
calma,560,nnls,False,0.3124543496739184,,,,,,
calma,560,ssrc,False,0.2087842331842372,0.022152064656616236,0.0001,0.022894733928562686,22.152064656616236,400.0,100.0
calma,560,pls,False,0.23362929109042452,,,,,,
calma,560,naive,False,0.2485292329925753,,,,,,
calma,580,ols,False,0.2855137151151148,,,,,,
calma,580,ridge,False,0.28404905390580354,0.0008964869477757364,1e-06,0.05280145000456629,89.64869477757365,400.0,100.0
calma,580,nnls,False,0.5225498779510115,,,,,,
calma,580,ssrc,False,0.13105275281583822,0.02247987465134211,0.0001,0.022921300832269825,22.47987465134211,400.0,100.0
calma,580,pls,False,2.249128097437414,,,,,,
calma,580,naive,False,0.6792492850517755,,,,,,
calma,600,ols,False,0.03377137082056851,,,,,,
calma,600,ridge,False,0.03377636655258054,8.652036842495115e-06,1e-08,0.04712630114561829,86.52036842495116,400.0,100.0
calma,600,nnls,False,0.1644410584731047,,,,,,
calma,600,ssrc,False,0.1553242912179312,0.022583424079174307,0.0001,0.02413194185052541,22.583424079174307,400.0,100.0
calma,600,pls,False,0.8598542839153027,,,,,,
calma,600,naive,False,0.12618036540502858,,,,,,
calma,620,ols,False,0.509096044166389,,,,,,
calma,620,ridge,False,0.5090912781790831,8.599140549129262e-06,1e-08,0.046564246308705856,85.99140549129262,400.0,100.0
calma,620,nnls,False,1.8790883428407852,,,,,,
calma,620,ssrc,False,0.02724139177473199,0.022155524748841283,0.0001,0.026607606775899885,22.155524748841284,400.0,100.0
calma,620,pls,False,2.5371338279763327,,,,,,
calma,620,naive,False,1.7463090206574619,,,,,,
calma,640,ols,False,0.3186020794090263,,,,,,
calma,640,ridge,False,0.3187325595624116,0.0008764962571104277,1e-06,0.04590125278426619,87.64962571104279,400.0,100.0
calma,640,nnls,False,1.9297396872643486,,,,,,
calma,640,ssrc,False,0.05259447870519185,0.22117165863763794,0.001,0.02625016864133556,22.117165863763795,400.0,100.0
calma,640,pls,False,3.259603851067133,,,,,,
calma,640,naive,False,2.2642159833044513,,,,,,
calma,660,ols,False,0.1938403830241497,,,,,,
calma,660,ridge,False,0.1941852401026714,0.0008979790430415425,1e-06,0.05520634212631847,89.79790430415426,400.0,100.0
calma,660,nnls,False,0.18332581564273118,,,,,,
calma,660,ssrc,False,0.1293775479303485,0.00022114978230316443,1e-06,0.021064296825847744,22.114978230316446,400.0,100.0
calma,660,pls,False,1.5963857730164412,,,,,,
calma,660,naive,False,0.17793709015387488,,,,,,
calma,680,ols,False,0.34355852282777366,,,,,,
calma,680,ridge,False,0.3550472217453719,0.09071588283267383,0.0001,0.06577286641826992,90.71588283267383,400.0,100.0
calma,680,nnls,False,0.7972303025767233,,,,,,
calma,680,ssrc,False,0.09565639029781607,0.02209925107364165,0.0001,0.023205607626132167,22.09925107364165,400.0,100.0
calma,680,pls,False,2.3813104359549766,,,,,,
calma,680,naive,False,0.6804792543064702,,,,,,
calma,700,ols,False,0.11974793580413198,,,,,,
calma,700,ridge,False,0.1779374658496632,0.09109921198728792,0.0001,0.06846067329132391,91.09921198728792,400.0,100.0
calma,700,nnls,False,0.9810585660206391,,,,,,
calma,700,ssrc,False,0.1406838893203964,0.02238475312101497,0.0001,0.027635209813079004,22.384753121014967,400.0,100.0
calma,700,pls,False,1.757250541784857,,,,,,
calma,700,naive,False,1.3565794304362402,,,,,,
calma,720,ols,False,0.13474641087210532,,,,,,
calma,720,ridge,False,0.09682059553983913,0.09104033564843717,0.0001,0.0664017739276282,91.04033564843718,400.0,100.0
calma,720,nnls,False,0.04649143155858874,,,,,,
calma,720,ssrc,False,0.017781044526946375,0.0224045113405323,0.0001,0.03395647941134698,22.4045113405323,400.0,100.0
calma,720,pls,False,0.8302836465593788,,,,,,
calma,720,naive,False,0.10310382782786343,,,,,,
calma,740,ols,False,0.3667860178649774,,,,,,
calma,740,ridge,False,0.3896078525935962,0.09061027961553869,0.0001,0.06371197886900194,90.61027961553869,400.0,100.0
calma,740,nnls,False,1.0932096294584686,,,,,,
calma,740,ssrc,False,0.044468255729552424,0.0224282886668296,0.0001,0.0349168925469419,22.4282886668296,400.0,100.0
calma,740,pls,False,0.9417658285044284,,,,,,
calma,740,naive,False,1.0195666213196468,,,,,,
calma,760,ols,False,0.07387092589113699,,,,,,
calma,760,ridge,False,0.07428691740491916,0.0009037748883470055,1e-06,0.06253671608135701,90.37748883470056,400.0,100.0
calma,760,nnls,False,2.004389289072761,,,,,,
calma,760,ssrc,False,0.12734891476187124,0.022215129474264277,0.0001,0.033545217608520785,22.215129474264277,400.0,100.0
calma,760,pls,False,4.874438435091316,,,,,,
calma,760,naive,False,1.756702081168612,,,,,,
calma,780,ols,False,0.20029834583926676,,,,,,
calma,780,ridge,False,0.20026382806355403,9.291957761800942e-06,1e-08,0.06160894487748912,92.91957761800943,400.0,100.0
calma,780,nnls,False,0.4337573091999726,,,,,,
calma,780,ssrc,False,0.04079409488125181,0.022487116531020004,0.0001,0.030457479746719477,22.487116531020007,400.0,100.0
calma,780,pls,False,0.40392311281999355,,,,,,
calma,780,naive,False,0.557001367695954,,,,,,
calma,800,ols,False,0.17127121327164718,,,,,,
calma,800,ridge,False,0.17443072858303704,0.09267481219443459,0.0001,0.06410070769326474,92.6748121944346,400.0,100.0
calma,800,nnls,False,0.4169807993071344,,,,,,
calma,800,ssrc,False,0.08884343552485548,2.2631240215139328e-06,1e-08,0.02711732236856425,22.63124021513933,400.0,100.0
calma,800,pls,False,0.41539269560795544,,,,,,
calma,800,naive,False,0.4044841044888342,,,,,,
calma,820,ols,False,0.21870378294234913,,,,,,
calma,820,ridge,False,0.27803544298893185,0.09318616437968498,0.0001,0.07088219753402282,93.18616437968498,400.0,100.0
calma,820,nnls,False,1.940027555633559,,,,,,
calma,820,ssrc,False,0.011262712338375464,0.00022719874676524967,1e-06,0.020633248608289093,22.719874676524967,400.0,100.0
calma,820,pls,False,3.8691747936187513,,,,,,
